Chromosome,Fitness,Overlap
"('couponaholic.net', 'mingpao.com', 'aol.co.uk', 'msn.com', 'youtube.com')",1202971485.2,6484514.79569
"('couponaholic.net', 'mingpao.com', 'aol.co.uk', 'msn.com', 'youtube.com')",1202971485.2,6484514.79569
"('couponaholic.net', 'mingpao.com', 'aol.co.uk', 'msn.com', 'youtube.com')",1202971485.2,6484514.79569
"('couponaholic.net', 'mingpao.com', 'aol.co.uk', 'msn.com', 'youtube.com')",1202971485.2,6484514.79569
"('couponaholic.net', 'mingpao.com', 'aol.co.uk', 'msn.com', 'youtube.com')",1202971485.2,6484514.79569
"('couponaholic.net', 'mingpao.com', 'aol.co.uk', 'msn.com', 'youtube.com')",1202971485.2,6484514.79569
"('couponaholic.net', 'mingpao.com', 'aol.co.uk', 'msn.com', 'youtube.com')",1202971485.2,6484514.79569
"('couponaholic.net', 'mingpao.com', 'aol.co.uk', 'msn.com', 'youtube.com')",1202971485.2,6484514.79569
"('couponaholic.net', 'mingpao.com', 'aol.co.uk', 'msn.com', 'youtube.com')",1202971485.2,6484514.79569
"('couponaholic.net', 'mingpao.com', 'aol.co.uk', 'msn.com', 'youtube.com')",1202971485.2,6484514.79569
